task_id,task_type,required_skill_level,environment_risk,supervision_required,risk_label
T0001,Chemical,3,1,0,Low
T0002,Assembly,3,2,1,Medium
T0003,Mechanical,1,1,0,Low
T0004,Chemical,1,3,0,Medium
T0005,Chemical,2,3,0,Medium
T0006,Assembly,1,1,1,Low
T0007,Mechanical,3,3,1,Medium
T0008,Mechanical,3,1,0,Low
T0009,Chemical,1,1,0,Low
T0010,Electrical,3,3,0,Low
T0011,Chemical,3,1,0,Medium
T0012,Chemical,1,3,1,Low
T0013,Chemical,1,2,1,Low
T0014,Chemical,3,1,0,Medium
T0015,Assembly,3,2,0,Medium
T0016,Mechanical,3,3,1,Medium
T0017,Assembly,2,2,1,Medium
T0018,Assembly,2,2,0,Medium
T0019,Assembly,2,3,0,Medium
T0020,Chemical,1,2,0,Low
T0021,Electrical,2,2,1,Low
T0022,Mechanical,1,3,1,Low
T0023,Electrical,1,2,1,Low
T0024,Assembly,2,3,0,Low
T0025,Assembly,2,2,0,Low
T0026,Electrical,2,3,1,Medium
T0027,Electrical,3,3,1,Medium
T0028,Electrical,2,2,0,Low
T0029,Assembly,3,2,1,Low
T0030,Assembly,1,2,1,Low
T0031,Mechanical,3,1,0,Low
T0032,Mechanical,2,1,1,Low
T0033,Assembly,1,1,0,Low
T0034,Electrical,1,3,0,Low
T0035,Electrical,1,2,0,Low
T0036,Mechanical,3,3,0,Medium
T0037,Assembly,2,1,0,Low
T0038,Mechanical,1,2,0,Low
T0039,Mechanical,1,3,0,Low
T0040,Chemical,1,2,1,Medium
T0041,Chemical,3,3,0,High
T0042,Chemical,3,2,0,Medium
T0043,Electrical,2,1,1,Low
T0044,Assembly,3,1,1,Low
T0045,Assembly,1,2,1,Low
T0046,Assembly,2,3,0,Medium
T0047,Assembly,1,1,1,Low
T0048,Chemical,1,1,0,Low
T0049,Electrical,3,1,0,Low
T0050,Electrical,2,2,0,Low
T0051,Chemical,3,2,0,Medium
T0052,Electrical,3,3,1,Medium
T0053,Chemical,2,3,1,Medium
T0054,Assembly,1,3,0,Low
T0055,Chemical,1,2,0,Medium
T0056,Assembly,2,2,0,Low
T0057,Assembly,1,3,1,Low
T0058,Mechanical,2,3,0,Low
T0059,Chemical,2,2,0,Low
T0060,Mechanical,3,3,1,Medium
T0061,Chemical,2,1,1,Medium
T0062,Chemical,3,2,0,Medium
T0063,Mechanical,1,3,1,Low
T0064,Mechanical,1,2,1,Low
T0065,Chemical,1,1,0,Low
T0066,Electrical,1,2,1,Low
T0067,Assembly,3,2,0,Medium
T0068,Mechanical,1,2,1,Low
T0069,Assembly,2,2,0,Low
T0070,Electrical,2,1,0,Low
T0071,Electrical,2,2,0,Low
T0072,Electrical,3,2,1,Low
T0073,Mechanical,1,3,0,Low
T0074,Electrical,1,2,1,Low
T0075,Mechanical,1,3,0,Medium
T0076,Electrical,3,1,0,Low
T0077,Assembly,2,1,1,Low
T0078,Assembly,2,1,0,Low
T0079,Chemical,1,1,0,Low
T0080,Assembly,2,3,1,Medium
T0081,Chemical,2,2,0,Medium
T0082,Assembly,3,1,0,Low
T0083,Mechanical,3,2,0,Medium
T0084,Assembly,3,3,0,Medium
T0085,Chemical,3,3,1,Medium
T0086,Chemical,1,3,1,Medium
T0087,Electrical,3,1,0,Low
T0088,Mechanical,2,2,1,Low
T0089,Assembly,1,2,0,Low
T0090,Electrical,2,2,1,Low
T0091,Assembly,2,3,0,Medium
T0092,Assembly,2,1,0,Low
T0093,Electrical,3,3,0,Medium
T0094,Electrical,3,3,0,Medium
