worker_id,kmeans_cluster,hierarchical_cluster
W00001,1,1
W00002,1,1
W00003,0,0
W00004,0,0
W00005,1,1
W00006,0,0
W00007,0,0
W00008,1,0
W00009,1,1
W00010,1,1
W00011,0,0
W00012,1,1
W00013,1,1
W00014,0,0
W00015,1,1
W00016,1,0
W00017,1,0
W00018,1,1
W00019,0,0
W00020,1,1
W00021,0,0
W00022,0,0
W00023,1,0
W00024,0,0
W00025,1,0
W00026,0,0
W00027,1,0
W00028,0,0
W00029,0,0
W00030,0,0
W00031,1,1
W00032,0,0
W00033,0,0
W00034,0,0
W00035,1,1
W00036,0,0
W00037,0,0
W00038,0,0
W00039,0,0
W00040,1,0
W00041,0,0
W00042,1,1
W00043,1,0
W00044,0,0
W00045,0,0
W00046,1,0
W00047,0,0
W00048,0,0
W00049,0,0
W00050,0,0
W00051,1,1
W00052,1,1
W00053,0,0
W00054,0,0
W00055,1,1
W00056,1,0
W00057,1,0
W00058,1,1
W00059,1,0
W00060,0,0
W00061,0,0
W00062,1,1
W00063,1,1
W00064,1,0
W00065,0,0
W00066,0,0
W00067,1,1
W00068,1,0
W00069,1,0
W00070,1,0
W00071,0,0
W00072,1,0
W00073,1,1
W00074,0,0
W00075,0,0
W00076,1,0
W00077,1,1
W00078,0,0
W00079,0,0
W00080,0,0
W00081,1,1
W00082,1,0
W00083,1,1
W00084,0,0
W00085,0,0
W00086,1,1
W00087,1,0
W00088,0,0
W00089,1,1
W00090,1,0
W00091,0,0
W00092,1,1
W00093,0,0
W00094,0,0
W00095,1,1
W00096,0,1
W00097,0,0
W00098,0,0
W00099,1,1
W00100,0,0
W00101,0,0
W00102,1,0
W00103,1,1
W00104,0,0
W00105,0,0
W00106,1,1
W00107,0,1
W00108,1,0
W00109,0,0
W00110,1,1
W00111,1,1
W00112,0,0
W00113,0,1
W00114,0,0
W00115,0,0
W00116,1,0
W00117,1,1
W00118,1,1
W00119,0,0
W00120,1,1
W00121,0,0
W00122,1,1
W00123,0,0
W00124,0,0
W00125,0,0
W00126,0,1
W00127,0,0
W00128,0,0
W00129,0,0
W00130,1,0
W00131,1,1
W00132,0,0
W00133,0,0
W00134,1,1
W00135,0,0
W00136,1,1
W00137,1,1
W00138,0,0
W00139,1,1
W00140,1,1
W00141,0,0
W00142,0,0
W00143,1,1
W00144,1,1
W00145,1,1
W00146,0,0
W00147,0,0
W00148,1,0
W00149,0,0
W00150,1,1
W00151,0,1
W00152,1,1
W00153,1,1
W00154,1,1
W00155,0,0
W00156,0,0
W00157,1,0
W00158,1,0
W00159,0,0
W00160,1,1
W00161,0,0
W00162,0,0
W00163,0,0
W00164,1,1
W00165,0,0
W00166,0,0
W00167,0,0
W00168,0,0
W00169,1,0
W00170,1,0
W00171,0,0
W00172,0,0
W00173,0,1
W00174,0,0
W00175,1,0
W00176,1,0
W00177,1,1
W00178,1,1
W00179,1,1
W00180,1,1
W00181,0,0
W00182,1,0
W00183,1,1
W00184,0,0
W00185,0,0
W00186,0,0
W00187,1,1
W00188,1,1
W00189,0,0
W00190,1,1
W00191,1,0
W00192,1,1
W00193,0,0
W00194,1,0
W00195,0,0
W00196,0,0
W00197,0,0
W00198,0,0
W00199,0,0
W00200,0,0
W00201,0,0
W00202,0,0
W00203,1,0
W00204,0,0
W00205,1,0
W00206,0,0
W00207,1,1
W00208,0,0
W00209,0,0
W00210,1,0
W00211,0,0
W00212,1,1
W00213,0,0
W00214,1,0
W00215,1,1
W00216,0,0
W00217,1,0
W00218,1,0
W00219,1,1
W00220,1,1
W00221,0,0
W00222,0,0
W00223,0,1
W00224,0,0
W00225,0,0
W00226,0,0
W00227,0,0
W00228,0,0
W00229,1,1
W00230,1,0
W00231,0,0
W00232,0,0
W00233,1,1
W00234,0,0
W00235,1,1
W00236,0,0
W00237,1,1
W00238,1,0
W00239,1,1
W00240,1,1
W00241,0,0
W00242,0,0
W00243,0,0
W00244,1,0
W00245,1,1
W00246,0,0
W00247,1,1
W00248,1,1
W00249,0,0
W00250,1,1
W00251,0,0
W00252,1,1
W00253,1,1
W00254,1,0
W00255,0,0
W00256,1,0
W00257,1,0
W00258,0,0
W00259,1,0
W00260,1,0
W00261,0,0
W00262,0,0
W00263,0,0
W00264,1,1
W00265,0,0
W00266,1,1
W00267,1,0
W00268,1,1
W00269,0,0
W00270,0,0
W00271,0,0
W00272,0,0
W00273,0,0
W00274,0,0
W00275,1,1
W00276,1,1
W00277,1,1
W00278,1,0
W00279,1,1
W00280,1,1
W00281,0,0
W00282,0,0
W00283,1,1
W00284,1,0
W00285,1,1
W00286,1,0
W00287,0,0
W00288,0,0
W00289,0,1
W00290,0,0
W00291,1,0
W00292,1,1
W00293,0,0
W00294,0,0
W00295,1,1
W00296,1,0
W00297,0,0
W00298,0,0
W00299,0,0
W00300,0,0
W00301,1,1
W00302,0,0
W00303,1,0
W00304,0,0
W00305,0,0
W00306,1,0
W00307,0,0
W00308,0,0
W00309,0,0
W00310,0,0
W00311,0,0
W00312,1,0
W00313,1,0
W00314,0,0
W00315,0,0
W00316,0,0
W00317,0,0
W00318,1,0
W00319,1,1
W00320,0,0
W00321,0,0
W00322,0,0
W00323,1,0
W00324,0,0
W00325,0,0
W00326,1,0
W00327,0,0
W00328,0,0
W00329,0,0
W00330,1,1
W00331,0,0
W00332,0,0
W00333,0,0
W00334,0,0
W00335,0,0
W00336,0,0
W00337,1,0
W00338,0,0
W00339,1,0
W00340,1,0
W00341,1,0
W00342,1,1
W00343,0,0
W00344,1,1
W00345,0,0
W00346,1,1
W00347,0,0
W00348,0,0
W00349,0,0
W00350,0,0
W00351,0,0
W00352,0,0
W00353,0,0
W00354,0,0
W00355,1,1
W00356,0,0
W00357,0,0
W00358,0,0
W00359,0,0
W00360,0,1
W00361,0,0
W00362,1,0
W00363,0,0
W00364,1,0
W00365,1,1
W00366,1,1
W00367,1,0
W00368,1,0
W00369,1,1
W00370,0,0
W00371,1,1
W00372,0,0
W00373,0,0
W00374,1,0
W00375,1,0
W00376,1,1
W00377,1,1
W00378,1,1
W00379,0,0
W00380,1,0
W00381,1,0
W00382,1,1
W00383,1,0
W00384,0,0
W00385,1,1
W00386,0,0
W00387,0,0
W00388,0,0
W00389,0,0
W00390,1,0
W00391,1,0
W00392,0,0
W00393,0,0
W00394,1,0
W00395,0,0
W00396,1,0
W00397,1,1
W00398,0,0
W00399,0,0
W00400,1,0
W00401,0,0
W00402,1,1
W00403,1,1
W00404,0,0
W00405,0,0
W00406,0,0
W00407,1,0
W00408,0,0
W00409,1,1
W00410,0,0
W00411,1,0
W00412,1,1
W00413,1,0
W00414,0,0
W00415,0,0
W00416,1,1
W00417,0,0
W00418,1,0
W00419,0,0
W00420,1,1
W00421,1,0
W00422,0,0
W00423,1,0
W00424,0,0
W00425,1,0
W00426,0,0
W00427,1,0
W00428,0,0
W00429,0,0
W00430,1,1
W00431,0,0
W00432,0,0
W00433,0,0
W00434,0,0
W00435,1,1
W00436,0,0
W00437,0,0
W00438,0,0
W00439,0,0
W00440,1,1
W00441,0,1
W00442,0,0
W00443,1,0
W00444,1,1
W00445,0,0
W00446,1,1
W00447,0,1
W00448,1,1
W00449,1,0
W00450,1,0
W00451,0,0
W00452,0,0
W00453,1,1
W00454,0,0
W00455,1,0
W00456,1,1
W00457,0,0
W00458,0,0
W00459,1,1
W00460,0,0
W00461,0,0
W00462,0,0
W00463,1,0
W00464,0,0
W00465,0,0
W00466,0,0
W00467,0,0
W00468,0,0
W00469,1,1
W00470,1,1
W00471,0,0
W00472,0,0
W00473,1,0
W00474,1,1
W00475,0,0
W00476,1,1
W00477,0,0
W00478,0,0
W00479,0,0
W00480,0,0
W00481,0,0
W00482,0,0
W00483,0,0
W00484,1,1
W00485,1,1
W00486,0,0
W00487,0,0
W00488,1,0
W00489,0,0
W00490,0,0
W00491,0,0
W00492,1,1
W00493,1,1
W00494,0,0
W00495,0,0
W00496,1,0
W00497,1,1
W00498,0,0
W00499,0,0
W00500,1,1
